airbnb_id,Detail,Price(in dollar),Offer price(in dollar),Review and rating,Number of bed,Extracted Title,City/State,Country
230,AHHH-MAZING VIEWS! Beach Front Apt.,121.00,,4.88 (490),2 beds,Condo in Luquillo,,Puerto Rico
231,"Tropical Island Escape w/ Deck, Walk to Avalon Bay",336.00,,4.34 (80),1 queen bed,Home in Avalon,California,US
232,"The Thimbleberry MicroCabin near lake, hot tub use",108.00,,4.97 (146),1 queen bed,Cabin in Sorrento,,Canada
233,Private room/bathroom in modern house with Pool,128.00,,4.83 (181),1 queen bed,Room in Miami,Florida,US
234,"Modern 1/1, Half a Block from The Ocean",140.00,92.00,4.75 (308),2 beds,Apartment in Miami Beach,Florida,US
235,Satori Suite (The Bamboo House),199.00,159.00,4.91 (292),2 double beds,Room in Kailua-Kona,Hawaii,US
236,Cancun Suites (Standard Room),81.00,140.00,4.47 (192),3 beds,Apartment in Cancún,,Mexico
237,Tropicana Suite-Grand Manor Luxury Mansion Loft,92.00,46.00,4.86 (494),1 king bed,Room in Galveston,Texas,US
238,Disney/Universal Home Away from Home!,162.00,48.00,4.95 (221),1 king bed,Room in Kissimmee,Florida,US
239,Pink Galaxy | Private Observatory · Hot Tub · Pool,283.00,192.00,5.0 (9),1 queen bed,Villa in Morongo Valley,California,US
240,Camera argento in tipica casa coloniale,42.00,,4.81 (168),3 beds,Room in La Habana,,Cuba
241,"GARDEN ROOM, private bathroom, separate entrance",184.00,,4.96 (284),2 beds,Room in Kihei,Hawaii,US
242,"Tree House - Beach Area, KS bed, 3 PPL",157.00,,4.75 (165),1 double bed,Treehouse in Zona Hotelera,,Mexico
243,It Hotel & Residences - Studio Rental in PDC,75.00,,4.79 (253),1 double bed,Apartment in Playa del Carmen,,Mexico
244,"Cozy & Neat hotel room 2pax ocean view WiFi,Pool",115.00,,4.52 (92),1 double bed,Hotel in Isla Mujeres,,Mexico
245,Meteora Stay & Coffehouse Tulum - Deluxe Queen,59.00,,4.74 (105),1 double bed,Hostel in Tulum,,Mexico
246,Movie Theater + Kid Friendly | Book the Dome!,200.00,,4.97 (64),1 double bed,Home in Oceanside,Oregon,US
247,My Adirondack Home - Very Scenic,107.00,,4.96 (520),1 double bed,Room in Wilmington,New York,US
248,New 16th Floor Beachfront 180º Oceanview Apartment,302.00,,4.87 (659),1 double bed,Condo in Miami Beach,Florida,US
249,Camilo's Luxury Shared Townhouse,81.00,,4.87 (301),1 double bed,Room in Cancún,,Mexico
250,"Surf, family & friends! Tropical Room in downtown",51.00,,4.95 (86),1 double bed,Room in Cancún,,Mexico
251,1208 Beach property part ocean & pool view,79.00,,4.64 (148),1 double bed,Apartment in Cancún,,Mexico
252,Amazing panoramic tree house Norway,285.00,185.00,4.86 (410),1 double bed,Treehouse in Sandane ,,Norway
253,Beachfront Cottage on the Lake,140.00,141.00,4.72 (25),4 beds,Home in Jurków,,Poland
254,Off-Grid vineyard and olive orchard home.,144.00,136.00,5.0 (9),3 beds,Farm stay in Şarköy,,Turkey
255,Mirror House Iceland,735.00,75.00,New,1 bed,Cabin in Hvanneyri,,Iceland
256,R.I.P. by ŘÍP - Rest In Pod by ŘÍP,78.00,,4.92 (36),1 sofa bed,Place to stay in Krabčice,,Czechia
257,LOVE Attic,209.00,,4.85 (178),2 beds,Condo in Fiumicino,,Italy
258,Natural show in Cabaña Alcazaba,111.00,,4.86 (568),4 double beds,Cabin in Güejar Sierra,,Spain
259,MU_Moradas no Ulla 6. Cabañas de Compostela.,112.00,,4.96 (89),1 queen bed,Cabin in Teo,,Spain
260,Unik Hobbit Cabin,221.00,,4.84 (239),2 beds,Place to stay in Hol,,Norway
261,Simple guesthouse on a farm. Double bed and sofa bed. Free Wi-Fi and parking. WC and living room/kitchenette in separate building,73.00,,4.89 (18),2 beds,Farm stay in Nyköping S,,Sweden
262,"Boat in Orlik, you want it!",78.00,,4.31 (29),4 sofa beds,Houseboat in Jickovice,,Czechia
263,Forest cabin,80.00,,4.84 (212),1 double bed,Cabin in Hornedo,,Spain
264,Amonde Village - Casa P * Comfort & Quality,168.00,,4.98 (51),3 beds,Home in Viana do Castelo,,Portugal
265,Tower house Gombola,166.00,,4.87 (45),3 beds,Tower in Gombola,,Italy
266,hut in the mid. of nowhere + priv pond+3 ha,181.00,,4.79 (396),2 beds,Cabin in Darżkowo,,Poland
267,The Water Tower at Long Meadow Farm,246.00,,4.85 (181),2 double beds,Home in Kenilworth,,UK
268,Alte Wassermühle Friedrichshausen - Eulenstube,55.00,,4.96 (25),3 beds,Room in Dassel,,Germany
269,Vovady Farm : Roulotte Bohème,82.00,,4.85 (34),3 beds,Farm stay in Montregard,,France
270,Biron aux Puces de Saint Vincent Market,95.00,84.00,4.9 (61),2 double beds,Room in Saint-Ouen,,France
271,Cabin on the countryside close to the small city.,111.00,136.00,4.71 (51),5 beds,Cabin in Gällstad,,Sweden
272,La Barona Chalet,223.00,167.00,4.99 (240),1 bed,Cabin in Trasquera,,Italy
273,"""Lieblingsplatz"" shepherd's hut",55.00,,4.96 (24),2 beds,Shepherd’s hut in Hessisch Lichtenau,,Germany
274,Rectory Farm Hideaway,178.00,,4.93 (535),2 double beds,Hut in Oxfordshire,,UK
275,The Black Shack @ Bancran School,169.00,,4.97 (304),3 beds,Tiny home in Draperstown,,UK
276,Apartment Caribe - PlusHolidays,80.00,,3.67 (3),2 double beds,Apartment in Calpe,,Spain
277,Anty's Pond: Davy Crockett's Hut,93.00,,4.87 (150),2 double beds,Shepherd’s hut in Saint-Nabord,,France
278,Biarritz Grande Plage 25m2 with Balcony,176.00,,4.91 (316),2 beds,Apartment in Biarritz,,France
279,TRULLO ISABELLA,158.00,,4.98 (95),4 beds,Trullo in Ostuni,,Italy
280,Secluded Hand crafted log cabin,139.00,,5.0 (68),1 bed,Farm stay in Girvan,,UK
281,Stargazer Cabin - Monmouth Walking Distance Town,240.00,,4.9 (287),1 sofa bed,Cabin in Monmouth,,UK
282,"Baita Vrei (2)""Titta"" - Hut Lago Maggiore",61.00,,4.84 (63),2 beds,Home in Miazzina,,Italy
283,Tranquil retreat with fantastic countryside views,115.00,,4.92 (227),2 beds,Tiny home in Poltimore,,UK
284,Romantic and one-of-a-kind Beachouse,183.00,,4.88 (48),4 beds,Villa in Pollina,,Italy
285,Ilaira Apartments,86.00,,4.86 (38),1 double bed,Condo in Χράνοι,,Greece
286,Central 1bedroom apt by the sea,61.00,,4.76 (214),2 beds,Apartment in Rodos,,Greece
287,Cosy Romantic Cabin with Wood Burning Stove.,107.00,,4.96 (274),2 beds,Tiny home in Midmar,,UK
288,Historic residence surrounded by olive trees,75.00,115.00,4.98 (46),2 beds,Farm stay in Agello,,Italy
289,Wonderful Old Cabin on Rare Natural Site,147.00,133.00,4.93 (151),1 queen bed,Cabin in Adainville,,France
290,"Stay in the castle, with family or friends",92.00,118.00,4.94 (169),4 beds,Castle in Vay,,France
291,XS Village - Arrifana Suite (private bathroom),100.00,,4.96 (25),2 beds,Room in Aljezur,,Portugal
292,The Loft at the Bonnington Farm,135.00,,4.89 (423),1 bed,Barn in Rattray,,UK
293,KALEİÇİ BACCHUS OTEL DENİZ MANZARALI TATİL 501,83.00,,4.73 (230),1 bed,Hotel room in Muratpaşa,,Turkey
294,strawbale roundhouse for vegetarian,108.00,,4.9 (297),2 beds,Earthen home in Bronwydd Arms,,UK
295,Wohnung Ruth Herrenhaus Viecheln Anno 1869,121.00,,4.97 (34),2 beds,Room in Behren-Lübchin,,Germany
296,Swiss Tiny Chalet,109.00,,4.8 (157),4 single beds,Tiny home in Les Haudères,,Switzerland
297,The Napoleonic period chalet in the High Jura,105.00,,4.98 (190),1 queen bed,Chalet in Étival,,France
298,"Moulin de Boiscorde, ideal for couples and families",128.00,,4.9 (41),3 beds,Home in Rémalard,,France
299,Rural Tuscany | Wine farm with pool | Terrarossa,148.00,,4.33 (6),5 beds,Farm stay in Montepulciano,,Italy
300,Magical Trullo in Ostuni Cis BR0740129000012213,105.00,,4.87 (87),1 sofa bed,Trullo in Ostuni,,Italy
301,Gruszkówka 1 Cottage (7 km from Białka ),96.00,,4.98 (86),1 bed,Cabin in Nowy Targ,,Poland
302,Woodland Stargazing Cabin,133.00,,4.83 (174),1 bed,Shepherd’s hut in Hollacombe,,UK
303,Room available in Greater London suburb home,43.00,,4.98 (94),1 bed,Room in London,,UK
304,Casa Tua,142.00,,4.66 (68),1 bed,Apartment in Megalochori,,Greece
305,CABIN X GPF,225.00,,4.99 (239),1 bed,Farm stay in Catsfield,,UK
306,Alhambra Trails 2,94.00,84.00,4.78 (36),2 beds,Room in La Zubia,,Spain
307,""" La cabane du Gozzi""",85.00,66.00,4.79 (346),2 beds,Chalet in Afa,,France
308,FLH Ericeira Ocean Flat,216.00,157.00,4.45 (187),3 beds,Apartment in Ericeira,,Portugal
309,manoir 19 ème siècle LE COUTUREAU isaline,135.00,,5.0 (11),1 bed,Room in Rouffignac-de-Sigoulès,,France
310,Guesthouse an der Vechte,50.00,,4.94 (104),2 beds,Guesthouse in Esche,,Germany
311,L & C Deluxe Apartment - luxury and comfort,136.00,,5.0 (45),1 double bed,Condo in Kremasti,,Greece
312,Country House,69.00,,4.94 (84),3 beds,Room in Torreglia,,Italy
313,Luxury Triple cave room,129.00,,4.72 (32),4 beds,Cave in Mesaria,,Greece
314,Rural Retreat on the Ashdown Forest,184.00,,4.96 (114),1 double bed,Barn in Nutley,,UK
315,Magazine - Oskar Schwebel -,136.00,,4.66 (277),4 single beds,Castle in Winningen,,Germany
316,CasasdoCasinhotoD-Rustic House (pool; river view),131.00,,4.81 (43),1 double bed,Home in Baião,,Portugal
317,Elegant Little Wyvis Lodge - Sleeps 2,159.00,,4.96 (95),3 beds,Nature lodge in Highland Council,,UK
318,Rural Aledo - El Estrecho,76.00,,4.78 (24),4 beds,Cabin in Totana,,Spain
319,Nasos' Treehouse,98.00,,4.81 (98),2 single beds,Treehouse in Fountana,,Greece
320,FredrikLars farm at Nordmarksberg Manor,44.00,,4.98 (46),2 single beds,Cabin in Filipstad N,,Sweden
321,"La Tana del Lupo B&B, family and outdoor sports",73.00,,4.99 (121),2 single beds,Room in Borgo Valsugana,,Italy
322,The Llama Lodge - a Log Cabin on a Llama Farm,205.00,,4.92 (60),2 single beds,Cabin in Llandissilio,,UK
323,"Quaint ""Petra Lustig"" construction car",48.00,,None,2 single beds,Camper/RV in Mayen,,Germany
324,Country House,69.00,66.00,4.94 (84),2 beds,Room in Torreglia,,Italy
325,Luxury Triple cave room,129.00,157.00,4.72 (32),3 beds,Cave in Mesaria,,Greece
326,Magazine - Oskar Schwebel -,136.00,99.00,4.66 (277),4 beds,Castle in Winningen,,Germany
327,CasasdoCasinhotoD-Rustic House (pool; river view),131.00,,4.81 (43),1 double bed,Home in Baião,,Portugal
328,Elegant Little Wyvis Lodge - Sleeps 2,159.00,,4.96 (95),4 single beds,Nature lodge in Highland Council,,UK
329,Rural Aledo - El Estrecho,76.00,,4.78 (24),1 double bed,Cabin in Totana,,Spain
330,Nasos' Treehouse,98.00,,4.91 (32),1 queen bed,Treehouse in Fountana,,Greece
331,The North Windmill ⚓ Unique House with View,184.00,,4.98 (46),4 beds,Vacation home in Akrotiri,,Greece
332,"La Tana del Lupo B&B, family and outdoor sports",73.00,,4.99 (121),1 king bed,Room in Borgo Valsugana,,Italy
333,The Llama Lodge - a Log Cabin on a Llama Farm,205.00,,4.95 (111),2 beds,Cabin in Llandissilio,,UK
334,Bumble Bee Cottage,141.00,,4.93 (410),4 beds,Cottage in Trefeinon,,UK
335,Gorgeous yurt in amazing mountain/forest location,107.00,,4.91 (339),1 bed,Yurt in Cynwyd,,UK
336,"Diamond Home 1, romantic gem, 20 min to Acropolis",112.00,,4.79 (217),4 beds,Apartment in Athina,,Greece
337,TrulLetto,114.00,,4.85 (52),3 beds,Trullo in Alberobello,,Italy
338,"Tyga Gård, probably most beautiful on Bjäre",94.00,,4.9 (43),1 queen bed,Cabin in Båstad V,,Sweden
339,Silk Trulli,86.00,,4.52 (21),1 queen bed,Home in Coreggia,,Italy
340,The Olive Tree Court,92.00,,4.85 (143),1 queen bed,Trullo in Martina Franca,,Italy
341,LaCorte CAMERA BLU NEAR FERRARI WITH PRIVATE PARK,73.00,,None,1 queen bed,Room in Montale Rangone,Modena,Italy
342,Friedrichshain Beautiful Sunny Room with Balcony,135.00,73.00,5.0 (6),2 beds,Room in Berlin,,Germany
343,Cozy en-suite double room in S. Peter's / Borgo,60.00,67.00,4.88 (331),1 king bed,Room in Rome,,Italy
344,Star Night Room - Van Gogh Hills B&B,68.00,,4.91 (23),3 beds,Room in Santa Lucia,,Italy
345,La Petite Chaumière,85.00,,4.79 (39),1 double bed,Home in Reclesne,,France
346,Green - Lawns in Tuscany,91.00,,4.97 (145),3 double beds,Farm stay in Asciano,,Italy
347,Casa Cerbaia | Betulla,86.00,,4.95 (19),4 double beds,Farm stay in Pennabilli,,Italy
348,"Sommerfjøset on Hovelsrud, Helgøya",328.00,,4.96 (136),2 beds,Barn in Nes På Hedmark,,Norway
349,Cozy cottage in Torsåker (Hofors),75.00,,4.83 (254),4 single beds,Cabin in Torsåker,,Sweden
350,Nice place for your stay in Paris,86.00,,4.96 (319),1 sofa bed,Room in Saint-Mandé,,France
351,"Peaceful, wooden garden cabin",93.00,,4.91 (255),1 sofa bed,Cabin in Walpole,,UK
352,Rural farm-Spacious triple bedroom with en suite,71.00,,4.92 (113),1 sofa bed,Place to stay in East Farndon,,UK
353,Private room in the heart of nature,42.00,,4.96 (114),1 sofa bed,Room in Rüthen,,Germany
354,Xavier House,43.00,,4.89 (184),1 sofa bed,Room in Rome,,Italy
355,"Akti Karras, Plaka Naxos (up to 2 guests)",55.00,,4.91 (23),1 sofa bed,Apartment in Plaka,,Greece
356,Studio lookout,31.00,,4.45 (240),1 sofa bed,Condo in Saint-Lary-Soulan,,France
357,Bavarian room in the Dolomites,84.00,,4.8 (5),1 sofa bed,Room in Borgo Valbelluna,,Italy
358,Cosy interesting loam house,78.00,,5.0 (10),1 sofa bed,Room in Kassel,,Germany
359,Nice room in duplex + terrace near BCN,55.00,,4.89 (128),1 sofa bed,Room in Barcelona ,,Spain
360,Lost Paradise - A night into the Alentejo!,85.00,71.00,4.95 (39),5 double beds,Tent in Sabóia,,Portugal
361,Cabin in the wild,95.00,78.00,4.98 (46),2 queen beds,Place to stay in Mont-le-Vernois,,France
362,Amazing shipping container house + sea views+ WIFI,164.00,,4.91 (43),1 bed,Shipping container in Dirlaught,,Ireland
363,"Countryside Sleeps, Bakery, Homestay",73.00,,4.95 (385),1 double bed,Hut in Witzenhausen,,Germany
364,Kimiro Hotel Tsilivi,97.00,,4.91 (43),1 double bed,Room in Planos,,Greece
365,Studio apartment with AC - Suite 3,34.00,,5.0 (3),3 beds,Apartment in Kadıköy,,Turkey
366,Sicilian Mountain Oasis - Entire Villa (Smart W.),100.00,,4.94 (325),2 double beds,Cottage in Nicosia,,Italy
367,İzmir Bungalow. ( Urla treehouse 1),74.00,,4.82 (223),1 bed,Bungalow in Izmir,,Turkey
368,The Folly - Cornwall,111.00,,5.0 (11),1 bed,Guesthouse in Perranwell Station,,UK
369,Echoes Exclusive Suite,526.00,,4.98 (40),2 beds,Apartment in Areti,,Greece
370,Delightfull Dome with Hot tub & sauna on the beach,319.00,,4.98 (52),1 king bed,Dome in Wapnica,,Poland
371,Romantic Ocean View Couples Retreat Cornwall,357.00,,5.0 (61),2 beds,Cabin in Millbrook,,UK
372,THE AQUARIUM … waterfront 🧜🏾‍♂️,61.00,,4.72 (103),3 beds,Guest suite in La Marsa,,Tunisia
373,Gäststuga Knorrasjön,95.00,,New,2 double beds,Guesthouse in Jonstorp,,Sweden
374,Villa Laurito,185.00,,4.88 (66),1 double bed,Home in Positano,,Italy
375,"""La Parra"", rural tourism. Your home in paradise.",67.00,,4.99 (335),1 bed,Cottage in Benalauría,,Spain
376,Hascherle Hitt,86.00,,5.0 (57),2 beds,Tiny home in Muldenhammer,,Germany
377,Villa Trouz Ar Mor,135.00,,4.85 (13),2 beds,Home in Audierne,,France
378,İzmir Bungalow. ( Urla treehouse 1),74.00,32.00,4.82 (223),2 double beds,Bungalow in Izmir,,Turkey
379,The Folly - Cornwall,111.00,,5.0 (11),1 bed,Guesthouse in Perranwell Station,,UK
380,Echoes Exclusive Suite,526.00,,4.98 (40),1 bed,Apartment in Areti,,Greece
381,Delightfull Dome with Hot tub & sauna on the beach,319.00,,4.98 (52),2 beds,Dome in Wapnica,,Poland
382,Romantic Ocean View Couples Retreat Cornwall,357.00,,5.0 (61),1 king bed,Cabin in Millbrook,,UK
383,THE AQUARIUM … waterfront 🧜🏾‍♂️,61.00,,4.72 (103),2 beds,Guest suite in La Marsa,,Tunisia
384,Gäststuga Knorrasjön,95.00,,New,3 beds,Guesthouse in Jonstorp,,Sweden
385,Villa Laurito,185.00,,4.88 (66),2 double beds,Home in Positano,,Italy
386,Peaceful Country Treehouse Nr Penzance & St Ives,294.00,,4.95 (292),1 double bed,Treehouse in Penzance,,UK
387,"""La Parra"", rural tourism. Your home in paradise.",67.00,,4.99 (335),1 double bed,Cottage in Benalauría,,Spain
388,Cabaña ecológica de madera en la naturaleza,80.00,,4.79 (14),3 beds,Cabin in La Atalaya,,Spain
389,Gallas Pod House,57.00,,5.0 (25),2 beds,Tiny home in Vouzela,,Portugal
390,Hascherle Hitt,86.00,,5.0 (57),1 bed,Tiny home in Muldenhammer,,Germany
391,Waterfront #41Design - CozyCityCenter Flat,70.00,,4.84 (546),2 beds,Apartment in Thessaloniki,,Greece
392,Villa Trouz Ar Mor,135.00,,4.85 (13),2 beds,Home in Audierne,,France
393,Treehouse Izmir View all our houses please ..,40.00,,4.9 (394),3 double beds,Treehouse in Torbalı,,Turkey
394,Kaktus Suites Fethiye - City Bungalow 2 w/pool,69.00,,4.87 (53),1 double bed,Bungalow in Fethiye,,Turkey
395,Yurt op Off-Grid Homestead,49.00,,4.92 (38),1 bed,Yurt in Finestrat,,Spain
396,Cabin into the wild,77.00,154.00,4.67 (282),1 queen bed,Cabin in Idrac respailles ,,France
397,💎Boka Bay view apartment.💎,93.00,102.00,4.69 (218),3 beds,Apartment in Kotor,,Montenegro
398,Seaside & Garden Single family home,104.00,124.00,4.94 (33),2 beds,Home in Chalkida,,Greece
399,Del Sol. Studio across the sea 1.,61.00,259.00,New,2 beds,Home in Skopelos,,Greece
400,"16th Century Scottish Borders Tower, by Earlston",252.00,113.00,4.96 (464),3 queen beds,Place to stay in Scottish Borders,,UK
401,Porto Bello Lux ( Sea View & Swimming Pool),58.00,,4.9 (110),4 beds,Loft in Baošići,,Montenegro
402,"Spectacular view of Supertubos beach, Peniche",126.00,,4.82 (34),3 beds,Home in Atouguia da Baleia,,Portugal
403,1A chalet resting crickets + hiking with indoor sauna,123.00,,4.67 (110),3 beds,Home in Bad Sankt Leonhard im Lavanttal,,Austria
404,Beachfront apartment with perfect seaview,231.00,,4.85 (204),4 beds,Vacation home in Punta Prima,,Spain
405,2 Cabins perched above a pond!,98.00,,4.91 (68),4 double beds,Treehouse in Verson,,France
406,Casale La Quercia - Tuscany country house,111.00,,4.94 (530),2 beds,Home in Vaiano,,Italy
407,"A Boscastle barn, rustic simplicity stunning views",141.00,,5.0 (9),1 king bed,Cottage in Boscastle,,UK
408,House with breathtaking views!,222.00,,4.97 (104),3 beds,Cabin in County Wicklow,,Ireland
409,La Casita de Las Negras,370.00,,4.85 (26),4 beds,Home in Las Negras,,Spain
410,King's Windmill - A little house in the woods,111.00,,4.54 (201),2 beds,Cabin in Serrazone,,Italy
411,Q3 BNB Premium Residence - The Engineering Tower,147.00,,4.8 (10),1 bed,Lighthouse in Ploemeur,,France
412,"The Haven Hut, warm, cosy and cute.",64.00,,4.67 (9),1 sofa bed,Cabin in Bridge of Earn,,UK
413,Washitsu.Casa camper Parking place w/house access,16.00,,None,1 bed,Campsite in Rif,,Iceland
414,Seaside & Garden Single family home,104.00,154.00,4.94 (33),2 beds,Home in Chalkida,,Greece
415,Del Sol. Studio across the sea 1.,61.00,73.00,New,2 beds,Home in Skopelos,,Greece
416,"16th Century Scottish Borders Tower, by Earlston",252.00,102.00,4.96 (464),3 queen beds,Place to stay in Scottish Borders,,UK
417,Porto Bello Lux ( Sea View & Swimming Pool),58.00,124.00,4.9 (110),4 beds,Loft in Baošići,,Montenegro
418,Ben's hat,82.00,113.00,4.92 (356),2 beds,Shepherd’s hut in County Durham,,UK
419,1A chalet resting crickets + hiking with indoor sauna,123.00,,4.67 (110),3 beds,Home in Bad Sankt Leonhard im Lavanttal,,Austria
420,Beachfront apartment with perfect seaview,231.00,,4.85 (204),4 beds,Vacation home in Punta Prima,,Spain
421,2 Cabins perched above a pond!,98.00,,4.94 (530),4 double beds,Treehouse in Verson,,France
422,"A Boscastle barn, rustic simplicity stunning views",141.00,,5.0 (18),1 king bed,Cottage in Boscastle,,UK
423,Central luxury /Hauptbahnhof,92.00,,5.0 (9),3 beds,Room in Wien,,Austria
424,House with breathtaking views!,222.00,,4.85 (26),2 beds,Cabin in County Wicklow,,Ireland
425,King's Windmill - A little house in the woods,111.00,,4.54 (201),1 bed,Cabin in Serrazone,,Italy
426,Q3 BNB Premium Residence - The Engineering Tower,147.00,,4.8 (10),1 sofa bed,Lighthouse in Ploemeur,,France
427,"The Haven Hut, warm, cosy and cute.",64.00,,4.77 (69),1 double bed,Cabin in Bridge of Earn,,UK
428,Delightful rustic treehouse,42.00,,4.67 (9),1 bed,Treehouse in Mons,,France
429,Washitsu.Casa camper Parking place w/house access,16.00,,4.91 (107),1 double bed,Campsite in Rif,,Iceland
430,Apartment-Mansarda Vista Castello,61.00,,5.0 (8),4 beds,Condo in Roviano,,Italy
431,Bettyjems Stage Refuge,20.00,,None,4 beds,Home in Jumilhac-le-Grand,,France
432,Mountain hut in the Elbe sandstone with log cabin sauna,98.00,66.00,4.78 (169),4 beds,Cabin in Rosenthal-Bielatal,,Germany
433,"Shepherd's hut ""Wolkakkrazer"" near Wolfegg",57.00,72.00,4.88 (220),1 queen bed,Hut in Wolfegg,,Germany
434,Private domed Copula @ Free Spirit horse refuge,63.00,114.00,4.61 (154),3 beds,Dome in Atzeneta del Maestrat,,Spain
435,Levanda Home,73.00,,4.91 (147),2 beds,Home in Taktikoupoli,,Greece
436,Face à la mer Brestoise,87.00,,New,3 beds,Apartment in Le Relecq-Kerhuon,,France
437,DEEP OCEAN BUNGALOWS-PANORAMIC &DOUBLE &HALF BOARD,115.00,,4.91 (75),1 queen bed,Nature lodge in Fethiye,,Turkey
438,Xitaca do Pula,78.00,,4.95 (203),2 king beds,Chalet in Covilhã,,Portugal
439,Infinity Abram,61.00,,4.57 (44),1 double bed,Apartment in Abram,,Greece
440,King bedroom in historic house with garden access,92.00,,4.96 (24),2 beds,Room in Halsham,,UK
441,The Loggia,169.00,,4.85 (61),1 double bed,Vacation home in Rocchetta Nervina,,Italy
442,Ca' Roncate,127.00,,4.9 (378),1 double bed,Home in Cernobbio,,Italy
443,Trailer Paradise Ivonete _unwind,46.00,,4.97 (71),3 beds,Camper/RV in Wettringen,,Germany
444,"Views to the valley, Wi-Fi, Air-Con, terrace,",79.00,,4.88 (140),2 beds,Home in Otívar,,Spain
445,Casa del Mago - Castelmezzano,93.00,,4.78 (100),3 beds,Home in Castelmezzano,,Italy
446,Moinho do Sr. Arnaldo - Big Windmill at Peniche,196.00,,4.85 (13),1 queen bed,Windmill in Atouguia da Baleia,,Portugal
447,canopy house,81.00,,4.81 (212),4 beds,Earthen home in La Canourgue,,France
448,Panucci's house- halfway between the sea and mountain,25.00,,4.98 (245),2 double beds,Home in Dinami,,Italy
449,Peacock House,80.00,,None,2 double beds,Cottage in Crossdoney,,Ireland
450,"Aura House 2bds Eco Bamboo House, Pool, River View",513.00,455.00,4.87 (209),2 double beds,Villa in Abiansemal,,Indonesia
451,BALIAN TREEHOUSE w beautiful pool,117.00,,4.85 (287),1 king bed,Hut in Balian Beach,,Indonesia
452,Bali Bamboo House | Rescape Ubud - Relief Villa,171.00,,4.79 (164),1 bed,Hut in Ubud,,Indonesia
453,❣️Romantic Staycation-PrivateSunset Pool@megananda,111.00,,4.92 (388),1 king bed,Villa in Ubud,,Indonesia
454,Dome - Bamboo Villa in Eco Six Bali,420.00,,4.87 (85),1 king bed,Cabin in Tampaksiring,,Indonesia
455,Treehouse De Valentine,255.00,,4.91 (147),5 beds,Treehouse in Balamban,,Philippines
456,Luxury 5 BDR Resort w/ Gym & Ricefield View,506.00,,4.78 (101),5 beds,Villa in Tampaksiring,,Indonesia
457,"Exclusive Private Island + Brother Island, El Nido",469.00,,4.82 (131),11 beds,Island in El Nido,,Philippines
458,15min walk to MRT Private room for 3 Free Brekkie.,31.00,,4.9 (255),3 double beds,Room in Chom Phon,,Thailand
459,Elegant & luxurious 3 BR villa rice-fields pano,322.00,,4.65 (94),4 beds,Villa in Kecamatan Ubud,,Indonesia
460,Exclusive Beach Villa - Balian Beach,240.00,,4.8 (105),4 beds,Villa in Tabanan,,Indonesia
461,"180° VIEW, PRIVATE POOL VILLA..",206.00,,4.93 (355),1 bed,Villa in Singaraja,,Indonesia
462,White Breeze Pool 1BD Apartment,64.00,,4.69 (112),1 queen bed,Apartment in Phuket,,Thailand
463,Beautiful villa on the edge of BLUE LAGOON,264.00,,4.83 (1239),1 bed,Villa in Nusa Ceningan,,Indonesia
464,Intimate Private Pool Villas in Ubud center,209.00,,4.89 (223),1 double bed,Villa in Kecamatan Ubud,,Indonesia
465,50% OFF | Ipian Cinta with Private Pool jacuzzi,142.00,,4.62 (118),1 double bed,Hut in Kecamatan Ubud,,Indonesia
466,Love Nest for honeymooner at best location,251.00,,4.98 (87),1 bunk bed,Villa in Kecamatan Kuta Utara,,Indonesia
467,Leafy Greens Chiangmai : Mushroom M2,22.00,,4.87 (210),1 bunk bed,Earthen home in Mueang Chiang Mai District,,Thailand
468,Love Nest for honeymooner at best location,251.00,,4.98 (87),1 double bed,Villa in Kecamatan Kuta Utara,,Indonesia
469,❣️Secluded Getaway Staycation+SunsetPool@megananda,111.00,,4.89 (364),1 king bed,Villa in Payangan,,Indonesia
470,Leafy Greens Chiangmai : Mushroom M2,22.00,,4.87 (210),1 bunk bed,Earthen home in Mueang Chiang Mai District,,Thailand
471,#3# Beautiful Balinese Villa with Private Pool,137.00,,4.91 (434),1 queen bed,Villa in Ubud,Kabupaten Gianyar,Indonesia
472,"Palma Villa, Spectacular Sea View Villa with Pool",238.00,,5.0 (13),2 beds,Villa in เกาะพงัน,,Thailand
473,Luxurious Private Pool Villa with Garden North of Ubud,126.00,,4.92 (166),2 beds,Villa in Tegallalang,,Indonesia
474,Tiny Tall Haus Ubud Getaway!,95.00,,4.87 (104),1 queen bed,Tiny home in Kecamatan Ubud,,Indonesia
475,Pondok Prapen -Ubud Center Private Pool Villa,217.00,,4.89 (333),3 beds,Bungalow in Ubud,,Indonesia
476,Beetle - Bamboo Villa in Eco Six Bali Resort,458.00,,4.82 (82),2 king beds,Villa in Tampaksiring,,Indonesia
477,the naked house,205.00,,4.88 (183),7 beds,Home in Ko Samui,,Thailand
478,"""Villa Sauvage 2 br"" - a magic horizon of coziness",122.00,,4.57 (115),2 double beds,Villa in Kamala,,Thailand
479,Bathing Private Exclusive Cottage,183.00,,4.91 (181),6 beds,Home in Mabini,,Philippines
480,Zen Hideaway #3 - ultimate Wabi-sabi experiences,235.00,,4.8 (372),2 king beds,Hut in Abiansemal,,Indonesia
481,"Explore, Experience, Enjoy T-HOUSE Lakestaycation!",39.00,,4.43 (160),2 queen beds,Tiny home in Cavinti,,Philippines
482,Hidden Bamboo Bali,136.00,,4.91 (161),1 king bed,Hut in Tampaksiring,,Indonesia
